,index,timePeriod,sentiment
2751,2100,1800-01-01,0.189
2753,209,1800-01-01,0.204
2804,1960,1800-01-01,0.28
2842,6049,1800-01-01,0.22
2901,6495,1800-01-01,0.379
2951,3962,1800-01-01,0.0
3002,8859,1800-01-01,0.377
3007,4702,1800-01-01,0.256
3014,9754,1800-01-01,0.32
3020,7784,1800-01-01,0.121
3031,1278,1800-01-01,0.402
3033,3260,1800-01-01,0.25
3034,6378,1800-01-01,0.451
3052,7178,1800-01-01,0.163
3073,9480,1800-01-01,0.247
3074,8392,1800-01-01,0.0
3123,513,1800-01-01,0.461
3134,8408,1800-01-01,0.308
3147,8525,1800-01-01,0.322
3167,7901,1800-01-01,0.281
3182,7217,1800-01-01,0.398
3189,1078,1800-01-01,0.0
3250,1881,1800-01-01,0.518
3261,6703,1800-01-01,0.116
3262,4220,1800-01-01,0.353
3274,202,1800-01-01,0.235
3298,3797,1800-01-01,0.258
3309,9542,1810-01-01,0.302
3322,4476,1810-01-01,0.205
3340,1487,1810-01-01,0.0
3343,459,1810-01-01,0.392
3344,8273,1810-01-01,0.235
3353,2965,1810-01-01,0.2
3354,718,1810-01-01,0.208
3356,2038,1810-01-01,0.245
3372,9633,1810-01-01,0.336
3397,3756,1810-01-01,0.19
3399,1998,1810-01-01,0.588
3417,6081,1810-01-01,0.256
3431,7892,1810-01-01,0.298
3435,7958,1810-01-01,0.24
3446,9422,1810-01-01,0.35
3448,1693,1810-01-01,0.212
3463,3950,1810-01-01,0.277
3469,4965,1810-01-01,0.339
3470,7734,1810-01-01,0.0
3474,6693,1810-01-01,0.263
3499,5574,1810-01-01,0.0
3514,3098,1810-01-01,0.0
3533,494,1810-01-01,0.176
3546,5963,1810-01-01,0.0
3566,1270,1810-01-01,0.193
3567,3947,1810-01-01,0.231
3569,4101,1810-01-01,0.264
3570,8454,1810-01-01,0.0
3575,2251,1810-01-01,0.263
3581,280,1810-01-01,0.222
3615,2290,1810-01-01,0.13
3634,8286,1810-01-01,0.227
3653,3880,1810-01-01,0.366
3665,170,1810-01-01,0.268
3678,9703,1810-01-01,0.0
3680,2963,1810-01-01,0.26
3698,5754,1810-01-01,0.399
3706,7299,1810-01-01,0.235
3800,4227,1810-01-01,0.238
3805,3302,1810-01-01,0.118
3815,7235,1810-01-01,0.293
3843,2594,1810-01-01,0.368
3846,9591,1810-01-01,0.449
3849,9767,1810-01-01,0.202
3870,7621,1810-01-01,0.263
3901,380,1810-01-01,0.0
3909,6833,1810-01-01,0.0
3911,5880,1810-01-01,0.444
3934,190,1810-01-01,0.059
3949,881,1810-01-01,0.274
3965,7904,1810-01-01,0.199
3972,6396,1810-01-01,0.363
4009,8467,1810-01-01,0.316
4010,8652,1810-01-01,0.225
4012,6417,1810-01-01,0.0
4024,5649,1810-01-01,0.0
4028,4078,1810-01-01,0.108
4057,9777,1810-01-01,0.251
4075,525,1810-01-01,0.267
4138,5514,1810-01-01,0.341
4144,6466,1810-01-01,0.153
4146,3867,1810-01-01,0.097
4158,4284,1810-01-01,0.156
4173,6862,1810-01-01,0.0
4174,5974,1810-01-01,0.326
4178,9261,1810-01-01,0.117
4186,1210,1810-01-01,0.495
4209,3780,1810-01-01,0.088
4233,8039,1810-01-01,0.235
4238,1920,1810-01-01,0.234
4243,392,1810-01-01,0.262
4264,4200,1810-01-01,0.208
4280,2609,1810-01-01,0.0
4285,4474,1810-01-01,0.385
4287,5406,1810-01-01,0.463
4294,5712,1810-01-01,0.157
4299,7148,1810-01-01,0.071
4301,8389,1810-01-01,0.292
4334,4412,1810-01-01,0.148
4369,1559,1810-01-01,0.213
4395,1092,1810-01-01,0.369
4416,9285,1810-01-01,0.457
4432,4703,1810-01-01,0.0
4435,1097,1810-01-01,0.102
4443,3398,1810-01-01,0.0
4465,4382,1810-01-01,0.252
4469,4966,1810-01-01,0.153
4482,6568,1810-01-01,0.319
4493,9348,1810-01-01,0.085
4494,766,1810-01-01,0.266
4499,2850,1810-01-01,0.0
4502,8305,1810-01-01,0.477
4504,7272,1810-01-01,0.665
4505,3168,1810-01-01,0.241
4512,5219,1810-01-01,0.137
4531,9772,1810-01-01,0.481
4532,7519,1810-01-01,0.074
4590,3829,1810-01-01,0.345
4622,2426,1810-01-01,0.228
4640,2217,1810-01-01,0.0
4647,3033,1810-01-01,0.067
4651,1387,1810-01-01,0.352
4703,1805,1810-01-01,0.391
4708,71,1810-01-01,0.43
4724,5116,1810-01-01,0.209
4734,1122,1810-01-01,0.25
4752,6684,1810-01-01,0.312
4754,3504,1810-01-01,0.0
4776,186,1810-01-01,0.2
4785,3772,1810-01-01,0.642
4804,7500,1810-01-01,0.23
4805,688,1810-01-01,0.0
4865,1185,1810-01-01,0.48
4870,3715,1810-01-01,0.0
4892,2435,1810-01-01,0.211
4906,6414,1810-01-01,0.277
4912,3325,1810-01-01,0.371
4942,7465,1810-01-01,0.193
4953,7855,1810-01-01,0.232
4983,3996,1810-01-01,0.363
4995,6480,1810-01-01,0.184
5020,2939,1810-01-01,0.101
5026,7133,1810-01-01,0.324
5033,7250,1810-01-01,0.258
5038,1550,1810-01-01,0.449
5042,4729,1810-01-01,0.459
5049,2287,1810-01-01,0.224
5050,8834,1810-01-01,0.222
5103,2593,1810-01-01,0.225
5107,3817,1810-01-01,0.171
5110,3508,1810-01-01,0.388
5131,3527,1810-01-01,0.367
5134,5501,1810-01-01,0.124
5182,864,1810-01-01,0.337
5193,9828,1810-01-01,0.178
5201,3835,1810-01-01,0.206
5229,5099,1810-01-01,0.414
5280,1225,1810-01-01,0.094
5284,9401,1810-01-01,0.35
5288,5045,1810-01-01,0.174
5305,321,1810-01-01,0.0
5322,8625,1810-01-01,0.249
5340,3910,1810-01-01,0.208
5387,3000,1810-01-01,0.134
5393,2087,1810-01-01,0.155
5412,719,1810-01-01,0.152
5417,8263,1810-01-01,0.556
5433,7420,1810-01-01,0.251
5457,8007,1810-01-01,0.303
5461,5710,1810-01-01,0.211
5491,8889,1810-01-01,0.188
5516,7151,1810-01-01,0.135
5520,3329,1810-01-01,0.341
5522,7953,1810-01-01,0.0
5525,7366,1810-01-01,0.291
5565,8097,1810-01-01,0.0
5572,5330,1810-01-01,0.337
5586,9169,1810-01-01,0.0
5615,6084,1810-01-01,0.0
5617,5110,1810-01-01,0.38
